Date,Open,High,Low,Close,Volume,Price_Change,Percentage_Change,Average_Price,Range
2024-04-03,3.66,3.66,3.63,3.64,9009607,-0.020000000000000018,-0.5464480874316944,3.645,0.03000000000000025
2024-04-02,3.65,3.68,3.63,3.63,8295717,-0.020000000000000018,-0.5479452054794526,3.6550000000000002,0.050000000000000266
2024-04-01,3.68,3.68,3.65,3.65,5714080,-0.03000000000000025,-0.8152173913043546,3.665,0.03000000000000025
2024-03-29,3.66,3.67,3.64,3.67,11328200,0.009999999999999787,0.27322404371584114,3.6550000000000002,0.029999999999999805
2024-03-28,3.68,3.68,3.64,3.64,6625287,-0.040000000000000036,-1.0869565217391313,3.66,0.040000000000000036
2024-03-27,3.7,3.71,3.66,3.66,7622920,-0.040000000000000036,-1.081081081081082,3.685,0.04999999999999982
2024-03-26,3.7,3.73,3.69,3.69,7209446,-0.010000000000000231,-0.2702702702702765,3.71,0.040000000000000036
2024-03-25,3.72,3.72,3.68,3.7,6295259,-0.020000000000000018,-0.5376344086021511,3.7,0.040000000000000036
2024-03-22,3.69,3.73,3.68,3.72,5835630,0.03000000000000025,0.8130081300813075,3.705,0.04999999999999982
2024-03-21,3.68,3.7,3.66,3.68,9445980,0.0,0.0,3.68,0.040000000000000036
2024-03-20,3.65,3.69,3.65,3.69,14384260,0.040000000000000036,1.0958904109589052,3.67,0.040000000000000036
2024-03-19,3.68,3.68,3.64,3.64,9002289,-0.040000000000000036,-1.0869565217391313,3.66,0.040000000000000036
2024-03-18,3.64,3.71,3.62,3.67,9138067,0.029999999999999805,0.8241758241758188,3.665,0.08999999999999986
2024-03-15,3.6,3.64,3.59,3.64,11451320,0.040000000000000036,1.111111111111112,3.615,0.050000000000000266
2024-03-14,3.57,3.62,3.56,3.6,9104103,0.03000000000000025,0.8403361344537886,3.59,0.06000000000000005
2024-03-13,3.59,3.61,3.57,3.57,6367462,-0.020000000000000018,-0.5571030640668528,3.59,0.040000000000000036
2024-03-12,3.56,3.62,3.56,3.58,7631692,0.020000000000000018,0.5617977528089892,3.59,0.06000000000000005
2024-03-11,3.58,3.58,3.55,3.56,7241810,-0.020000000000000018,-0.5586592178770954,3.565,0.03000000000000025
2024-03-08,3.55,3.58,3.54,3.58,6722933,0.03000000000000025,0.8450704225352182,3.56,0.040000000000000036
2024-03-07,3.54,3.57,3.52,3.57,6718386,0.029999999999999805,0.8474576271186385,3.545,0.04999999999999982
2024-03-06,3.58,3.58,3.53,3.55,10553020,-0.03000000000000025,-0.8379888268156493,3.5549999999999997,0.050000000000000266
2024-03-05,3.64,3.65,3.58,3.58,6615511,-0.06000000000000005,-1.6483516483516498,3.615,0.06999999999999984
2024-03-04,3.61,3.65,3.6,3.64,7998425,0.03000000000000025,0.8310249307479294,3.625,0.04999999999999982
2024-03-01,3.52,3.6,3.51,3.6,10205350,0.08000000000000007,2.2727272727272747,3.5549999999999997,0.0900000000000003
2024-02-29,3.51,3.54,3.46,3.5,18285240,-0.009999999999999787,-0.28490028490027886,3.5,0.08000000000000007
2024-02-28,3.57,3.57,3.48,3.5,12957370,-0.06999999999999984,-1.9607843137254857,3.525,0.08999999999999986
2024-02-27,3.66,3.66,3.56,3.57,10598310,-0.0900000000000003,-2.4590163934426315,3.6100000000000003,0.10000000000000009
2024-02-26,3.64,3.66,3.6,3.66,6352434,0.020000000000000018,0.5494505494505499,3.63,0.06000000000000005
2024-02-23,3.66,3.68,3.62,3.64,5730416,-0.020000000000000018,-0.5464480874316944,3.6500000000000004,0.06000000000000005
2024-02-22,3.72,3.74,3.66,3.67,8602670,-0.050000000000000266,-1.3440860215053836,3.7,0.08000000000000007
2024-02-21,3.72,3.73,3.69,3.72,7137065,0.0,0.0,3.71,0.040000000000000036
2024-02-20,3.7,3.71,3.68,3.71,7404093,0.009999999999999787,0.2702702702702645,3.6950000000000003,0.029999999999999805
2024-02-19,3.73,3.74,3.67,3.7,6868926,-0.029999999999999805,-0.8042895442359197,3.705,0.07000000000000028
2024-02-16,3.69,3.73,3.68,3.73,6913495,0.040000000000000036,1.084010840108402,3.705,0.04999999999999982
2024-02-15,3.7,3.71,3.65,3.7,5271602,0.0,0.0,3.6799999999999997,0.06000000000000005
2024-02-14,3.7,3.73,3.69,3.71,9297154,0.009999999999999787,0.2702702702702645,3.71,0.040000000000000036
2024-02-13,3.68,3.72,3.67,3.7,6522472,0.020000000000000018,0.5434782608695656,3.6950000000000003,0.050000000000000266
2024-02-12,3.68,3.7,3.65,3.66,4712432,-0.020000000000000018,-0.5434782608695656,3.675,0.050000000000000266
2024-02-09,3.73,3.73,3.66,3.67,11835740,-0.06000000000000005,-1.6085790884718514,3.6950000000000003,0.06999999999999984
2024-02-08,3.61,3.73,3.61,3.7,13047720,0.0900000000000003,2.493074792243776,3.67,0.1200000000000001
2024-02-07,3.58,3.62,3.56,3.6,6535571,0.020000000000000018,0.5586592178770954,3.59,0.06000000000000005
2024-02-06,3.56,3.57,3.51,3.57,5394916,0.009999999999999787,0.2808988764044884,3.54,0.06000000000000005
2024-02-05,3.56,3.6,3.53,3.55,6140101,-0.010000000000000231,-0.2808988764045009,3.565,0.07000000000000028
2024-02-02,3.57,3.58,3.52,3.57,4843969,0.0,0.0,3.55,0.06000000000000005
2024-02-01,3.56,3.57,3.48,3.57,8987664,0.009999999999999787,0.2808988764044884,3.525,0.08999999999999986
2024-01-31,3.59,3.59,3.55,3.55,6901566,-0.040000000000000036,-1.1142061281337057,3.57,0.040000000000000036
2024-01-30,3.57,3.6,3.54,3.54,6572505,-0.029999999999999805,-0.8403361344537761,3.5700000000000003,0.06000000000000005
2024-01-29,3.59,3.59,3.54,3.56,6219868,-0.029999999999999805,-0.8356545961002733,3.565,0.04999999999999982
2024-01-26,3.58,3.6,3.55,3.58,6386040,0.0,0.0,3.575,0.050000000000000266
2024-01-25,3.56,3.6,3.56,3.56,6617780,0.0,0.0,3.58,0.040000000000000036
2024-01-24,3.58,3.6,3.52,3.54,7119717,-0.040000000000000036,-1.1173184357541908,3.56,0.08000000000000007
2024-01-23,3.61,3.62,3.57,3.58,6119418,-0.029999999999999805,-0.8310249307479171,3.5949999999999998,0.050000000000000266
2024-01-22,3.58,3.61,3.57,3.61,5718602,0.029999999999999805,0.837988826815637,3.59,0.040000000000000036
2024-01-19,3.57,3.59,3.55,3.57,8292581,0.0,0.0,3.57,0.040000000000000036
2024-01-18,3.61,3.61,3.58,3.58,7243517,-0.029999999999999805,-0.8310249307479171,3.5949999999999998,0.029999999999999805
2024-01-17,3.58,3.64,3.58,3.63,8719513,0.04999999999999982,1.3966480446927325,3.6100000000000003,0.06000000000000005
2024-01-16,3.63,3.66,3.56,3.64,11075040,0.010000000000000231,0.27548209366391824,3.6100000000000003,0.10000000000000009
2024-01-15,3.65,3.66,3.62,3.63,6634972,-0.020000000000000018,-0.5479452054794526,3.64,0.040000000000000036
2024-01-12,3.68,3.68,3.64,3.67,7237038,-0.010000000000000231,-0.27173913043478887,3.66,0.040000000000000036
2024-01-11,3.67,3.7,3.65,3.68,57495609,0.010000000000000231,0.27247956403270385,3.675,0.050000000000000266
2024-01-10,3.69,3.7,3.65,3.65,7094264,-0.040000000000000036,-1.084010840108402,3.675,0.050000000000000266
2024-01-09,3.66,3.7,3.65,3.69,9052638,0.029999999999999805,0.8196721311475357,3.675,0.050000000000000266
2024-01-08,3.68,3.7,3.65,3.65,8867084,-0.03000000000000025,-0.8152173913043546,3.675,0.050000000000000266
2024-01-05,3.65,3.69,3.63,3.67,5782107,0.020000000000000018,0.5479452054794526,3.66,0.06000000000000005
2024-01-04,3.68,3.68,3.66,3.66,6149252,-0.020000000000000018,-0.5434782608695656,3.67,0.020000000000000018
2024-01-03,3.73,3.73,3.68,3.68,7961082,-0.04999999999999982,-1.3404825737265367,3.705,0.04999999999999982
2024-01-02,3.71,3.74,3.7,3.72,7716472,0.010000000000000231,0.26954177897574744,3.72,0.040000000000000036
2023-12-29,3.66,3.72,3.63,3.7,6436283,0.040000000000000036,1.0928961748633887,3.675,0.0900000000000003
2023-12-28,3.61,3.67,3.59,3.63,7058162,0.020000000000000018,0.5540166204986154,3.63,0.08000000000000007
2023-12-27,3.62,3.63,3.58,3.61,6645593,-0.010000000000000231,-0.2762430939226583,3.605,0.04999999999999982
2023-12-26,3.6,3.62,3.58,3.62,4751165,0.020000000000000018,0.555555555555556,3.6,0.040000000000000036
2023-12-25,3.63,3.63,3.6,3.62,4881369,-0.009999999999999787,-0.275482093663906,3.615,0.029999999999999805
2023-12-22,3.57,3.64,3.55,3.64,5268769,0.07000000000000028,1.960784313725498,3.5949999999999998,0.0900000000000003
2023-12-21,3.59,3.59,3.53,3.57,5229469,-0.020000000000000018,-0.5571030640668528,3.5599999999999996,0.06000000000000005
2023-12-20,3.62,3.65,3.59,3.59,6329874,-0.03000000000000025,-0.8287292817679627,3.62,0.06000000000000005
2023-12-19,3.6,3.64,3.56,3.62,5648547,0.020000000000000018,0.555555555555556,3.6,0.08000000000000007
2023-12-18,3.63,3.63,3.59,3.59,3811886,-0.040000000000000036,-1.1019283746556485,3.61,0.040000000000000036
2023-12-15,3.6,3.63,3.59,3.63,8893589,0.029999999999999805,0.8333333333333279,3.61,0.040000000000000036
2023-12-14,3.6,3.66,3.58,3.6,7636136,0.0,0.0,3.62,0.08000000000000007
2023-12-13,3.65,3.65,3.59,3.59,18203971,-0.06000000000000005,-1.6438356164383578,3.62,0.06000000000000005
2023-12-12,3.68,3.68,3.62,3.63,6072814,-0.050000000000000266,-1.3586956521739202,3.6500000000000004,0.06000000000000005
2023-12-11,3.68,3.68,3.62,3.68,6058957,0.0,0.0,3.6500000000000004,0.06000000000000005
2023-12-08,3.72,3.74,3.66,3.69,7055779,-0.03000000000000025,-0.8064516129032324,3.7,0.08000000000000007
2023-12-07,3.7,3.75,3.66,3.75,5524282,0.04999999999999982,1.3513513513513467,3.705,0.08999999999999986
2023-12-06,3.76,3.76,3.7,3.75,5298292,-0.009999999999999787,-0.26595744680850497,3.73,0.05999999999999961
2023-12-05,3.77,3.79,3.71,3.79,6421721,0.020000000000000018,0.5305039787798413,3.75,0.08000000000000007
2023-12-01,3.79,3.79,3.73,3.78,4735993,-0.010000000000000231,-0.26385224274406943,3.76,0.06000000000000005
2023-11-30,3.77,3.82,3.74,3.8,13839500,0.029999999999999805,0.795755968169756,3.7800000000000002,0.07999999999999963
2023-11-29,3.7,3.77,3.69,3.77,7261298,0.06999999999999984,1.8918918918918874,3.73,0.08000000000000007
2023-11-28,3.59,3.78,3.59,3.7,10989230,0.11000000000000032,3.064066852367697,3.6849999999999996,0.18999999999999995
2023-11-27,3.66,3.66,3.58,3.62,7560239,-0.040000000000000036,-1.0928961748633887,3.62,0.08000000000000007
2023-11-24,3.63,3.67,3.61,3.66,7416374,0.03000000000000025,0.8264462809917426,3.6399999999999997,0.06000000000000005
2023-11-23,3.6,3.66,3.53,3.63,9558786,0.029999999999999805,0.8333333333333279,3.5949999999999998,0.13000000000000034
2023-11-22,3.65,3.66,3.59,3.63,5084411,-0.020000000000000018,-0.5479452054794526,3.625,0.07000000000000028
2023-11-21,3.67,3.71,3.62,3.64,7237917,-0.029999999999999805,-0.8174386920980874,3.665,0.08999999999999986
2023-11-20,3.62,3.68,3.58,3.68,6718110,0.06000000000000005,1.657458563535913,3.63,0.10000000000000009
2023-11-17,3.71,3.71,3.6,3.61,7732040,-0.10000000000000009,-2.695417789757415,3.6550000000000002,0.10999999999999988
2023-11-16,3.71,3.73,3.68,3.71,10974830,0.0,0.0,3.705,0.04999999999999982
2023-11-15,3.68,3.75,3.68,3.72,9865143,0.040000000000000036,1.0869565217391313,3.715,0.06999999999999984
2023-11-14,3.69,3.7,3.67,3.68,5538012,-0.009999999999999787,-0.27100271002709453,3.685,0.03000000000000025
2023-11-13,3.62,3.68,3.61,3.68,7600340,0.06000000000000005,1.657458563535913,3.645,0.07000000000000028
2023-11-10,3.48,3.66,3.48,3.63,10163940,0.1499999999999999,4.310344827586205,3.5700000000000003,0.18000000000000016
2023-11-09,3.53,3.6,3.46,3.46,7658271,-0.06999999999999984,-1.9830028328611853,3.5300000000000002,0.14000000000000012
2023-11-08,3.63,3.65,3.51,3.52,6966366,-0.10999999999999988,-3.0303030303030267,3.58,0.14000000000000012
2023-11-07,3.59,3.64,3.57,3.64,6596135,0.050000000000000266,1.3927576601671383,3.605,0.07000000000000028
2023-11-06,3.6,3.71,3.57,3.59,6352158,-0.010000000000000231,-0.27777777777778423,3.6399999999999997,0.14000000000000012
2023-11-03,3.61,3.61,3.54,3.59,6317561,-0.020000000000000018,-0.5540166204986154,3.575,0.06999999999999984
2023-11-02,3.37,3.61,3.37,3.6,19495949,0.22999999999999998,6.824925816023739,3.49,0.23999999999999977
2023-11-01,3.35,3.38,3.34,3.36,10609510,0.009999999999999787,0.2985074626865608,3.36,0.040000000000000036
2023-10-31,3.37,3.4,3.34,3.36,8284481,-0.010000000000000231,-0.29673590504451725,3.37,0.06000000000000005
2023-10-30,3.37,3.5,3.35,3.36,10146330,-0.010000000000000231,-0.29673590504451725,3.425,0.1499999999999999
2023-10-27,3.38,3.38,3.3,3.34,6087425,-0.040000000000000036,-1.1834319526627228,3.34,0.08000000000000007
2023-10-26,3.45,3.45,3.34,3.36,6414121,-0.0900000000000003,-2.6086956521739215,3.395,0.11000000000000032
2023-10-25,3.33,3.51,3.33,3.42,9579464,0.08999999999999986,2.702702702702698,3.42,0.17999999999999972
2023-10-24,3.37,3.38,3.29,3.32,7333921,-0.050000000000000266,-1.4836795252225599,3.335,0.08999999999999986
2023-10-23,3.35,3.39,3.26,3.35,6061319,0.0,0.0,3.325,0.13000000000000034
2023-10-20,3.48,3.48,3.24,3.36,19373881,-0.1200000000000001,-3.448275862068969,3.3600000000000003,0.23999999999999977
2023-10-19,3.56,3.56,3.41,3.44,8901781,-0.1200000000000001,-3.3707865168539355,3.4850000000000003,0.1499999999999999
2023-10-18,3.55,3.55,3.48,3.53,7686724,-0.020000000000000018,-0.5633802816901414,3.5149999999999997,0.06999999999999984
2023-10-17,3.47,3.56,3.47,3.54,6732391,0.06999999999999984,2.0172910662824157,3.515,0.08999999999999986
2023-10-16,3.53,3.56,3.44,3.5,10555700,-0.029999999999999805,-0.8498583569405045,3.5,0.1200000000000001
2023-10-13,3.64,3.65,3.46,3.52,14333040,-0.1200000000000001,-3.2967032967032996,3.5549999999999997,0.18999999999999995
2023-10-12,3.59,3.67,3.58,3.62,7967049,0.03000000000000025,0.8356545961002856,3.625,0.08999999999999986
2023-10-11,3.51,3.63,3.45,3.57,23165180,0.06000000000000005,1.7094017094017109,3.54,0.17999999999999972
2023-10-10,3.54,3.55,3.43,3.45,12753130,-0.08999999999999986,-2.542372881355928,3.49,0.11999999999999966
2023-10-09,3.65,3.65,3.51,3.51,7509846,-0.14000000000000012,-3.835616438356168,3.58,0.14000000000000012
2023-10-06,3.66,3.68,3.65,3.65,4346976,-0.010000000000000231,-0.2732240437158533,3.665,0.03000000000000025
2023-10-05,3.68,3.69,3.66,3.66,2967278,-0.020000000000000018,-0.5434782608695656,3.675,0.029999999999999805
2023-10-04,3.7,3.71,3.65,3.67,7144181,-0.03000000000000025,-0.8108108108108174,3.6799999999999997,0.06000000000000005
2023-10-03,3.78,3.81,3.78,3.79,9976243,0.010000000000000231,0.2645502645502707,3.795,0.03000000000000025
2023-10-02,3.77,3.79,3.76,3.77,4835891,0.0,0.0,3.775,0.03000000000000025
2023-09-28,3.81,3.81,3.75,3.75,9419565,-0.06000000000000005,-1.5748031496063006,3.7800000000000002,0.06000000000000005
2023-09-27,3.81,3.82,3.79,3.8,3892727,-0.010000000000000231,-0.2624671916010559,3.8049999999999997,0.029999999999999805
2023-09-26,3.83,3.83,3.78,3.78,11007780,-0.050000000000000266,-1.3054830287206336,3.8049999999999997,0.050000000000000266
2023-09-25,3.79,3.81,3.77,3.8,5389699,0.009999999999999787,0.26385224274405766,3.79,0.040000000000000036
2023-09-22,3.8,3.81,3.77,3.78,6059383,-0.020000000000000018,-0.5263157894736847,3.79,0.040000000000000036
2023-09-21,3.81,3.82,3.78,3.8,7676173,-0.010000000000000231,-0.2624671916010559,3.8,0.040000000000000036
2023-09-20,3.79,3.83,3.79,3.79,6643123,0.0,0.0,3.81,0.040000000000000036
2023-09-19,3.8,3.8,3.78,3.8,3253242,0.0,0.0,3.79,0.020000000000000018
2023-09-18,3.8,3.8,3.77,3.77,3284124,-0.029999999999999805,-0.7894736842105211,3.785,0.029999999999999805
2023-09-15,3.75,3.8,3.75,3.8,8387248,0.04999999999999982,1.3333333333333286,3.775,0.04999999999999982
2023-09-14,3.78,3.79,3.74,3.77,4540436,-0.009999999999999787,-0.26455026455025893,3.765,0.04999999999999982
2023-09-13,3.76,3.78,3.74,3.78,5695459,0.020000000000000018,0.5319148936170218,3.76,0.03999999999999959
2023-09-12,3.74,3.77,3.74,3.76,5584902,0.019999999999999574,0.5347593582887586,3.755,0.029999999999999805
2023-09-11,3.71,3.75,3.69,3.74,4003293,0.03000000000000025,0.8086253369272304,3.7199999999999998,0.06000000000000005
2023-09-08,3.71,3.74,3.7,3.71,4517644,0.0,0.0,3.72,0.040000000000000036
2023-09-07,3.78,3.79,3.7,3.71,7778094,-0.06999999999999984,-1.8518518518518476,3.745,0.08999999999999986
2023-09-06,3.83,3.83,3.78,3.78,4611066,-0.050000000000000266,-1.3054830287206336,3.8049999999999997,0.050000000000000266
2023-09-05,3.83,3.83,3.78,3.83,5421024,0.0,0.0,3.8049999999999997,0.050000000000000266
2023-09-04,3.81,3.83,3.8,3.82,4754941,0.009999999999999787,0.26246719160104426,3.815,0.03000000000000025
2023-09-01,3.83,3.85,3.81,3.81,4254584,-0.020000000000000018,-0.522193211488251,3.83,0.040000000000000036
2023-08-31,3.88,3.88,3.81,3.81,11089480,-0.06999999999999984,-1.8041237113402022,3.8449999999999998,0.06999999999999984
2023-08-30,3.86,3.9,3.85,3.88,4825758,0.020000000000000018,0.5181347150259072,3.875,0.04999999999999982
2023-08-29,3.83,3.87,3.83,3.87,5007941,0.040000000000000036,1.044386422976502,3.85,0.040000000000000036
2023-08-28,3.84,3.88,3.83,3.83,5374475,-0.009999999999999787,-0.26041666666666113,3.855,0.04999999999999982
